,content,label,pred
0,"-import static org.junit.Assert.assertSame;
+import static org.junit.Assert.assertArrayEquals;
+import static org.junit.Assert.assertEquals;
+import static org.junit.Assert.assertFalse;
 import static org.junit.Assert.assertNotNull;
+import static org.junit.Assert.assertNotSame;
+import static org.junit.Assert.assertSame;
 
+import java.io.ByteArrayInputStream;
+import java.io.ByteArrayOutputStream;
+import java.io.FileNotFoundException;
+import java.io.IOException;
+import java.io.InputStream;
+import java.io.UnsupportedEncodingException;
+import java.net.MalformedURLException;
 import java.net.URL;
+import java.net.URLConnection;
+import java.net.URLStreamHandler;
+import java.net.URLStreamHandlerFactory;
+import java.util.HashMap;
+import java.util.Map;
",0,0
1,"-    private boolean useContextClassLoader = true;
-
",1,0
2,"+        digester.setClassLoader( classLoader );
",1,0
3,"+
+        XmlRulesModule xmlRulesModule = new XmlRulesModule( new NameSpaceURIRulesBinder( rulesBinder() ),
+                                                            getSystemIds(), rootPath );
+        Digester digester = newLoader( xmlRulesModule )
+                .register( DIGESTER_PUBLIC_ID, xmlRulesDtdUrl.toString() )
+                .setXIncludeAware( true )
+                .setValidating( true )
+                .newDigester();
+
+        try
+        {
+            digester.parse( inputSource );
+        }
+        catch ( Exception e )
+        {
+            addError( ""Impossible to load XML defined in the InputSource '%s': %s"", inputSource.getSystemId(),
+                      e.getMessage() );
+        }
",1,0
4,"+package org.apache.commons.digester3.binder;
+
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *   http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing,
+ * software distributed under the License is distributed on an
+ * ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
+ * KIND, either express or implied.  See the License for the
+ * specific language governing permissions and limitations
+ * under the License.
+ */
+
+/**
+ * Entity.
+ */
+public class Entity
+{
+
+    private String author = null;
+
+    /**
+     * @return Returns the author.
+     */
+    public String getAuthor()
+    {
+        return author;
+    }
+
+    /**
+     * @param author The author to set.
+     */
+    public void setAuthor( String author )
+    {
+        this.author = author;
+    }
+
+}
",0,0
5,"+        this.clazz = clazz;
",1,0
6,"+    @Test
+    public void testGetResource()
+    {
+        ClassLoader clToAdapt = new ClassLoader()
+        {
+
+            @Override
+            public URL getResource( String name )
+            {
+                if ( ""xxx"".equals( name ) )
+                {
+                    return super.getResource( ""org/apache/commons/digester3/binder/BinderClassLoaderTestCase.class"" );
+                }
+                return super.getResource( name );
+            }
+
+        };
+        ClassLoader binderCl = createBinderClassLoader( clToAdapt );
+        assertNotNull( binderCl.getResource( ""xxx"" ) );
+    }
+
",0,0
7,"-<container>
-  <header>
-    <authors>
-      <author>Author 1</author>
-    </authors>
-  </header>
-</container>
+<employee>
+  <name>Author 1</name>
+</employee> 
",0,0
8,"+        final URL url = Digester163TestCase.class.getResource( ""test.xml"" );
",0,0
9,"-import java.util.ArrayList;
 import java.util.HashSet;
-import java.util.List;
",1,0
10,"+ * [DIGESTER-126] Potential NullPointerException if debug is enabled in
+                  FactoryCreateRule#begin()
+
",0,0
11,"-     * 
+     *
",0,0
12,"-            if ( memoryRulesBinder.getIncludedFiles().add( xmlRulesResource.toString() ) )
+            Set<String> includedFiles = memoryRulesBinder.getIncludedFiles();
+            String xmlRulesResourceString = xmlRulesResource.toString();
+            if ( includedFiles.add( xmlRulesResourceString ) )
             {
-                install( new FromXmlRulesModule()
+                try
                 {
-
-                    @Override
-                    protected void loadRules()
+                    install( new FromXmlRulesModule()
                     {
-                        loadXMLRules( xmlRulesResource );
-                    }
 
-                } );
+                        @Override
+                        protected void loadRules()
+                        {
+                            loadXMLRules( xmlRulesResource );
+                        }
+
+                    } );
+                }
+                finally
+                {
+                    includedFiles.remove( xmlRulesResourceString );
+                }
",1,0
13,"- * 
+ *
",0,0
14,"-        return adaptedClassLoader.loadClass( name );
+        return getParent().loadClass( name );
",1,0
15,"+    public void testSingle()
+        throws IOException, SAXException
+    {
+        Digester dig = loader.newDigester();
+        URL url = Digester163TestCase.class.getResource( ""test.xml"" );
+        // lets parse - result does not matter here
+        Entity et = dig.parse( url );
+        assertEquals( ""Author 1"", et.getAuthor() );
+    }
+
+    @Test
",0,0
16,"- * 
+ *
",0,0
17,"+    <action dev=""simonetripodi"" type=""fix"" issue=""DIGESTER-167"" due-to=""Eugene Fedotov"">
+      Groundless ""Circular file inclusion detected"" exception when including rules XML file
+    </action>
",0,0
18,"+        final URL url = getClass().getResource( ""rules.xml"" );
",0,0
19,"+    <action dev=""simonetripodi"" type=""fix"" issue=""DIGESTER-154"">
+      The DigesterBinder is not able to load primitive classes by name
+    </action>
",0,0
20,"-     * 
+     *
",0,0
21,"-    private boolean useContextClassLoader;
+    private boolean useContextClassLoader = true;
",1,0
22,"-        rulesBinder.addError( messagePattern, arguments );
+        rulesBinders.get().addError( messagePattern, arguments );
",0,0
